,,,,,,,24.48%,,,,,,,,,,,,,,11.45%,,70.05%,,,,,,
,Level Name,,GDDL Tier,,Level ID,,Rated,,Verify Date,,Difficulty,,,Placement,,Primary Source,,Points,,Main Skillset,,,Verification Link,,Placement on Verification,,,Year Verified,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avernus Copy,,Tier 37,,118318193,,Unrated,,2025-06-03,,Extreme Demon,,,27,,EDI,,"41,098.82",,,Wave,,[NEW HARDEST] Avernus 100% by ЧУВААААААААК // Top 7 Extreme Demon,1,15,,,2025,1
,Blue Avernus,,Tier 37,,125795798,,Unrated,,2025-09-11,,Extreme Demon,,,28,,THAL,,"41,098.82",,,Wave,,Blue Avernus 100%,1,19,,,2025,1
,Avernus (PockeWindfish),,Tier 37,,89496627,,Rated,,2023-03-22,,Extreme Demon,,,29,,Global,,"41,098.82",,,Wave,,Avernus VERIFIED // By BoBoBoBoBoBoBo Pockewindfish and more,1,2,,,2023,1
,Avernus (Abdieldevil),,Tier 37,,114837121,,Unrated,,2025-02-05,,Extreme Demon,,,30,,Hand Placed,,"41,098.82",,,Wave,,Avernus 100% | HISPANIC HARDEST & WR FLUKE FROM 84% | TOP 2 - YouTube,,11,,,2025,
,Avernus green,,Tier 37,,130867589,,Unrated,,2026-01-05,,Extreme Demon,,,31,,EDI,,"41,098.82",,,Wave,,Sephardic take negotiations to another level.,1,25,,,2026,1
,Avernus (ULDM),,Tier 37,,119859433,,Unrated,,2025-04-26,,Extreme Demon,,,32,,Hand Placed,,"41,057.72",,,Wave,,[Top 7] Avernus 100% (Fluke from 67%) - YouTube,,14,,,2025,
,Im Bleaf,,Tier 37,,133056901,,Challenge,,2026-02-08,,Extreme Demon,,,33,,Hand Placed,,"40,288.15",,,Consistency,,SAKUPEN CIRCLES 66P - 8X IN A ROW [My Hardest Challenge?] - YouTube,1,27,,,2026,
,Sonic Wave Infinity (Slithium),,Tier 37,,129774598,,Unrated,,2025-12-19,,Extreme Demon,,,34,,GNCDL,,"38,758.83",,,Wave,,[VERIFIED] Sonic Wave Infinity (Slithium Ver.) 100% [Legendary Demon] by Riot /// HARDEST SONIC WAVE,1,26,,,2025,1
,Spectre,,Tier 37,,110815379,,Epic,,2024-10-05,,Extreme Demon,,,35,,Global,,"36,538.02",,,Nerve Control,,[NEW HARDEST] SPECTRE VERIFIED | Extreme Demon | Geometry Dash,1,7,,,2024,1
,Diabolic ClubStep (Unnerfed),,Tier 37,,78149361,,Unrated,,2025-08-08,,Extreme Demon,,,36,,THAL,,"35,133.13",,,,,(first verifier) UNNERFED diabolic clubstep 100% lol // TOP 10? - YouTube,1,22,,,2025,1
,Menace,,Tier 37,,107805281,,Epic,,2024-07-14,,Extreme Demon,,,37,,Global,,"33,782.26",,,Timings,,(Verified!) Menace 100%! - YouTube,1,5,,,2024,1
,Lesopowal,,Tier 37,,137886942,,Unrated,,2026-04-05,,Extreme Demon,,,38,,Hand Placed,,"33,132.80",,,,,[TOP 15-20] LESOPOWAL VERIFIED /// cherryteam - YouTube,,37,,,2026,
,Ashley Wave Trials,,Tier 37,,74457770,,Featured,,2024-11-01,,Extreme Demon,,,39,,THAL,,"32,483.33",,,Wave,,ASHLEY WAVE TRIALS // VERIFIED // ODDMOD,1,10,,,2024,1
,Abyss of Darkness,,Tier 37,,49896559,,Rated,,2022-04-03,,Extreme Demon,,,40,,Global,,"31,250.00",,,Chokepoints,,[VERIFIED] Abyss of Darkness // Exen // (HARDEST DEMON) - YouTube,1,1,,,2022,1
,Abyss of Darkness (Old),,Tier 37,,76680844,,Unrated,,2023-03-21,,Extreme Demon,,,41,,THAL,,"31,250.00",,,Chokepoints,,Old Abyss of Darkness 100%,1,3,,,2023,1
,Thinking Space II (Legacy),,Tier 37,,132854166,,Unrated,,2026-02-05,,Extreme Demon,,,42,,Hand Placed,,"30,750.00",,,Wave,,[VERIFIED] Thinking Space II (Legacy Version) by Communist Cyclone - YouTube,1,34,,,2026,
,acheron 97 challenge,,Tier 37,,124037650,,Unrated,,2024-07-29,,Extreme Demon,,,43,,THAL,,"30,250.00",,,Chokepoints,,NOT STOPPING UNTIL I COMPLETE BUFFED ACHERON,1,8,,,2024,1
,Acheron buffed,,Tier 37,,88201288,,Unrated,,2023-01-30,,Extreme Demon,,,44,,THAL,,"30,100.00",,,Chokepoints,,Acheron  buffed verified lol,1,3,,,2023,1
,Acheron (Zoink),,Tier 37,,73667628,,Featured,,2022-08-22,,Extreme Demon,,,45,,Global,,"30,000.00",,,Chokepoints,,"[VERIFIED] ACHERON (LEGENDARY DEMON) By Riot, Ryamu, and more",1,3,,,2022,1
,Defeated Circles,,Tier 36,,120012581,,Rated,,2025-05-31,,Extreme Demon,,,46,,Global,,"29,258.32",,,Wave,,"(VERIFIED) Defeated Circles // Galaxium, Slendstone and more. - YouTube",1,26,,,2025,1
,Illusion of Hell,,Tier 36,,38230726,,Challenge,,2025-04-24,,Extreme Demon,,,47,,Challenge,,"28,516.64",,,Wave,,[TOP 1] Illusion of Hell VERIFIED - YouTube,1,22,,,2025,1
,Subterminal Point,,Tier 36,,113599729,,Featured,,2024-12-29,,Extreme Demon,,,48,,Global,,"27,811.63",,,Chokepoints,,"[VERIFIED] ""Subterminal Point"" by SyQual (Official Trueffet Sequel) - YouTube",1,17,,,2024,1
,Tunnel of Despair,,Tier 36,,91351939,,Featured,,2024-07-02,,Extreme Demon,,,49,,Global,,"27,106.62",,,Learny,,'Tunnel of Despair' Verified || by Exen and Immax1 - YouTube,1,9,,,2024,1
,Firework Ice Nation,,Tier 36,,75277673,,Unrated,,2025-12-08,,Extreme Demon,,,50,,THAL,,"25,766.32",,,Timings,,Unnerfed Firework 100% (Top 25 Demon),1,39,,,2025,1
,Firework (Unnerfed),,Tier 36,,97139950,,Unrated,,2023-12-06,,Extreme Demon,,,51,,THAL,,"25,766.32",,,Timings,,Unnerfed Firework Verified | Geometry Dash - YouTube,1,9,,,2023,1
,re,,Tier 36,,126279500,,Challenge,,2025-09-22,,Extreme Demon,,,52,,Challenge,,"23,948.21",,,Wave,,𝐫𝐞 𝐯𝐞𝐫𝐢𝐟𝐢𝐜𝐚𝐭𝐢𝐨𝐧,1,38,,,2025,1
,Map of Problematique,,Tier 36,,91736575,,Unrated,,2024-10-12,,Extreme Demon,,,53,,THAL,,"22,130.10",,,Chokepoints,,[VERIFIED] Map of Problematique 100% (Legendary Demon) by Yossarian and more - YouTube,1,17,,,2024,1
,Zodiac (Unnerfed),,Tier 36,,54441585,,Unrated,,2024-05-20,,Extreme Demon,,,54,,THAL,,"21,582.98",,,Chokepoints,,"UNNERFED ZODIAC VERIFIED // 179,284 ATTEMPTS // IMPOSSIBLE DEMON BY XANDER556 // MY FINAL HARDEST!! - YouTube",1,10,,,2024,1
,Kyouki,,Tier 36,,86018142,,Featured,,2022-11-24,,Extreme Demon,,,55,,Global,,"21,035.87",,,Flow,,"""Kyouki"" VERIFIED (Solo Extreme Demon) | Geometry Dash - YouTube",1,4,,,2022,1
,Forbidden Maid,,Tier 36,,130217575,,Unrated,,2025-12-27,,Extreme Demon,,,56,,Hand Placed,,"20,542.93",,,Wave,,[Harder than VSC] Forgotten Maiden VERIFIED by ErinaLaSacarina (Top 3?) - YouTube,1,46,,,2025,
,Slaughterhouse (Old),,Tier 36,,120271175,,Unrated,,2023-12-23,,Extreme Demon,,,57,,EDI,,"20,050.00",,,Wave,,(VERIFIED) UNNERFED Slaughterhouse 100% - YouTube,1,11,,,2023,1
,christmashouse,,Tier 36,,84117769,,Unrated,,2023-11-07,,Extreme Demon,,,58,,THAL,,"20,000.00",,,Wave,,CHRISTMASHOUSE VERIFIED - YouTube,1,10,,,2023,1
,White Slaughterhouse,,Tier 36,,129783341,,Unrated,,2025-12-08,,Extreme Demon,,,59,,EDI,,"20,000.00",,,Wave,,White Slaughterhouse 100%,1,47,,,2025,1
,Green Slaughterhouse,,Tier 36,,91131797,,Unrated,,2025-03-30,,Extreme Demon,,,60,,THAL,,"20,000.00",,,Wave,,Green Slaughterhouse 100% - YouTube,1,29,,,2025,1
