39,119544028
39,119550490
39,134809395
39,126242564
39,134495078
39,116732736
39,138477424
39,105241443
38,125131485
38,609629
38,133175713
38,136742562
38,10887708
38,109780665
38,110816181
38,117692518
38,116174063
38,134942736
38,127997391
38,4125776
37,114283297
37,70436808
37,131185518
37,134168288
37,112313819
37,77331805
37,118318193
37,125795798
37,89496627
37,114837121
37,130867589
37,119859433
37,133056901
37,129774598
37,110815379
37,78149361
37,107805281
37,137886942
37,74457770
37,49896559
37,76680844
37,132854166
37,124037650
37,88201288
37,73667628
36,120012581
36,38230726
36,113599729
36,91351939
36,75277673
36,97139950
36,126279500
36,91736575
36,54441585
36,86018142
36,130217575
36,120271175
36,84117769
36,129783341
36,91131797
36,88104589
36,92905701
36,84550931
36,81376890
36,129175939
36,27690100
36,122490465
36,126120773
36,126120826
36,126120766
36,78765594
36,126120613
36,126120756
36,90775826
36,126120741
36,126120734
36,82200638
36,60805571
36,60811038
36,126120596
36,93091893
36,96792505
36,87665224
36,76767195
36,116528569
36,105191372
36,100420930
36,81287932
36,110534288
36,121310778
36,13586257
36,95259962
36,95357570
36,119160569
36,93056185
36,92787811
36,67044214
